Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
145,116,Lewis Timmins,SO,Tulsa,Team,9:07,175,141,15:34,169,135,25:09,157,126,31:26.5,Indiana State,547,934,1509,1886
146,117,Andrew Acosta,SO,Oregon,Team,9:01,99,71,15:19,82,63,24:56,132,104,31:26.6,Indiana State,541,919,1496,1887
147,118,Jayden Russ,SR,Iowa State,Team,9:11,216,178,15:40,197,161,25:11,163,131,31:28.3,Indiana State,551,940,1511,1888
148,119,Victor Gras,SR,Michigan,Team,9:06,159,126,15:29,148,116,25:03,143,114,31:29.8,Indiana State,546,929,1503,1890
149,120,Jacob Gustafsson,JR,BYU,Team,9:18,242,204,15:49,221,183,25:14,176,141,31:31.0,Indiana State,558,949,1514,1891
150,,Josh Karanja,JR,Eastern Michigan,Individual,9:00,82,,15:23,97,,24:55,128,,31:32.0,Indiana State,540,923,1495,1892
151,121,John Martinez,SO,NC State,Team,9:02,114,86,15:24,111,84,24:55,129,101,31:32.7,Indiana State,542,924,1495,1893
152,122,Chris Pannone,JR,Colorado,Team,9:13,228,190,15:40,198,162,25:10,159,128,31:33.2,Indiana State,553,940,1510,1893
153,,Steve Hallinan,SR,American,Individual,9:09,201,,15:38,190,,25:13,169,,31:34.0,Indiana State,549,938,1513,1894
154,123,Mark Matusak,JR,California,Team,9:01,100,72,15:23,99,75,25:04,149,119,31:34.1,Indiana State,541,923,1504,1894
155,124,Derek Taylor,SR,BYU,Team,9:03,124,94,15:28,141,111,25:12,168,135,31:34.4,Indiana State,543,928,1512,1894
156,125,Stephan Shay,JR,BYU,Team,9:03,125,95,15:34,166,132,25:11,164,132,31:34.6,Indiana State,543,934,1511,1895
157,,Festus Kigen,SO,TCU,Individual,8:59,66,,15:14,55,,24:46,103,,31:34.7,Indiana State,539,914,1486,1895
158,126,Colin Longmuir,JR,Portland,Team,9:05,150,117,15:34,167,133,25:11,165,133,31:35.3,Indiana State,545,934,1511,1895
159,127,Cole Hardacre,FR,Indiana,Team,9:07,176,142,15:31,155,123,25:05,151,120,31:35.5,Indiana State,547,931,1505,1895
160,,Patrick Mellea,SR,Boston College,Individual,8:59,67,,15:24,107,,25:11,166,,31:36.5,Indiana State,539,924,1511,1897
161,128,Mike McFarland,FR,Minnesota,Team,9:13,229,191,15:43,209,172,25:18,188,153,31:36.5,Indiana State,553,943,1518,1897
162,129,Garrett Heath,SR,Stanford,Team,8:58,52,38,15:18,75,57,25:06,155,124,31:37.8,Indiana State,538,918,1506,1898
163,130,Ben Engelhardt,FR,Arizona State,Team,9:08,191,157,15:37,184,149,25:13,170,136,31:38.2,Indiana State,548,937,1513,1898
164,131,Guor Majak,JR,Iowa State,Team,8:59,68,50,15:17,67,50,25:03,144,115,31:38.2,Indiana State,539,917,1503,1898
165,132,Joe Gatel,SO,Cal Poly,Team,9:07,177,143,15:37,179,144,25:11,167,134,31:39.0,Indiana State,547,937,1511,1899
166,133,Tyrel Jensen,SR,BYU,Team,9:06,160,127,15:37,178,143,25:17,184,149,31:39.7,Indiana State,546,937,1517,1900
167,134,Alex Bailey,SR,Ohio State,Team,9:06,161,128,15:40,194,158,25:16,181,146,31:40.3,Indiana State,546,940,1516,1900
168,135,Mike Popejoy,SR,Notre Dame,Team,9:07,178,144,15:36,176,141,25:14,177,142,31:40.5,Indiana State,547,936,1514,1900
169,136,John Moore,SR,Portland,Team,9:00,83,60,15:19,81,62,25:20,192,157,31:40.5,Indiana State,540,919,1520,1900
170,137,Darren Brown,SR,Texas,Team,9:08,192,158,15:38,189,154,25:18,189,154,31:40.8,Indiana State,548,938,1518,1901
171,138,Daniel Roberts,SO,Florida State,Team,8:57,27,17,15:27,130,103,25:13,171,137,31:41.3,Indiana State,537,927,1513,1901
172,139,Jordan Kyle,SO,Indiana,Team,9:04,135,103,15:30,150,118,25:21,197,162,31:41.3,Indiana State,544,930,1521,1901
173,140,Andy Biladeau,JR,Virginia,Team,8:58,53,39,15:11,38,28,24:45,97,76,31:41.3,Indiana State,538,911,1485,1901
174,141,Tyler Hill,SR,Arkansas,Team,8:59,69,51,15:28,140,110,25:09,158,127,31:42.0,Indiana State,539,928,1509,1902
175,142,Rick Furseth,SR,Minnesota,Team,9:13,230,192,15:43,210,173,25:17,185,150,31:42.5,Indiana State,553,943,1517,1903
176,143,Jack Bolas,FR,Wisconsin,Team,9:16,237,199,15:48,220,182,25:26,203,168,31:42.9,Indiana State,556,948,1526,1903
177,144,Richard Yeates,JR,Providence,Team,9:04,136,104,15:32,160,127,25:18,190,155,31:43.3,Indiana State,544,932,1518,1903
178,145,Richard Medina,FR,Colorado,Team,9:12,222,184,15:41,203,167,25:10,160,129,31:43.7,Indiana State,552,941,1510,1904
179,146,Rob Dennis,SR,William & Mary,Team,9:06,162,129,15:36,174,139,25:21,198,163,31:44.6,Indiana State,546,936,1521,1905
180,147,Owen Washburn,SR,Texas,Team,9:07,179,145,15:32,161,128,25:13,172,138,31:45.7,Indiana State,547,932,1513,1906
181,148,Justin Langdon,SR,Northern Arizona,Team,9:17,241,203,15:47,216,178,25:20,193,158,31:46.1,Indiana State,557,947,1520,1906
182,149,Bobby Papazian,SO,Villanova,Team,9:05,151,118,15:33,163,130,25:15,178,143,31:46.3,Indiana State,545,933,1515,1906
183,150,Scott MacPherson,JR,Arkansas,Team,8:58,54,40,15:10,33,23,24:51,115,91,31:48.4,Indiana State,538,910,1491,1908
184,151,Dan Curran,SR,Notre Dame,Team,9:07,180,146,15:39,192,156,25:16,182,147,31:49.2,Indiana State,547,939,1516,1909
185,,Matt Clark,SR,Clemson,Individual,8:59,70,,15:27,131,,25:10,161,,31:49.7,Indiana State,539,927,1510,1910
186,152,Alonso Contreras,JR,Arizona State,Team,9:04,137,105,15:26,128,101,25:13,173,139,31:49.9,Indiana State,544,926,1513,1910
187,153,Hillary Bor,FR,Iowa State,Team,9:06,163,130,15:34,168,134,25:13,174,140,31:50.5,Indiana State,546,934,1513,1911
188,154,Kyle Dekker,SO,Tulsa,Team,9:07,181,147,15:37,180,145,25:17,186,151,31:50.7,Indiana State,547,937,1517,1911
189,155,Eric Harris,SO,Tulsa,Team,9:05,152,119,15:35,172,138,25:20,194,159,31:53.5,Indiana State,545,935,1520,1913
190,156,Dino Bozzone,FR,Portland,Team,9:04,138,106,15:38,187,152,25:18,191,156,31:54.9,Indiana State,544,938,1518,1915
191,157,Joey Heller,SR,Arizona State,Team,9:08,193,159,15:40,195,159,25:28,207,171,31:55.1,Indiana State,548,940,1528,1915
192,158,Brennon Plotner,JR,Indiana,Team,9:09,202,165,15:41,200,164,25:20,195,160,31:56.5,Indiana State,549,941,1520,1916
193,159,Joe Parks,SO,Iona,Team,9:10,207,169,15:41,201,165,25:15,179,144,31:56.6,Indiana State,550,941,1515,1917
194,160,Tommy Betterbed,SO,Portland,Team,9:04,139,107,15:35,171,137,25:24,200,165,31:58.6,Indiana State,544,935,1524,1919
195,161,John Crews,SR,NC State,Team,9:01,101,73,15:29,145,113,25:15,180,145,31:59.0,Indiana State,541,929,1515,1919
196,162,Scott Wall,JR,Oregon,Team,9:01,102,74,15:33,162,129,25:25,202,167,31:59.1,Indiana State,541,933,1525,1919
197,163,Kevin Born,JR,Iowa State,Team,9:10,208,170,15:36,177,142,25:17,187,152,31:59.7,Indiana State,550,936,1517,1920
198,164,Titus Koeh,JR,Alabama,Team,9:07,182,148,15:37,181,146,25:20,196,161,32:00.8,Indiana State,547,937,1520,1921
199,,Tom Slosky,SR,Duquesne,Individual,9:08,194,,15:33,165,,25:13,175,,32:01.0,Indiana State,548,933,1513,1921
200,165,Kevin Tschirhart,SO,Virginia,Team,9:10,209,171,15:41,202,166,25:21,199,164,32:05.2,Indiana State,550,941,1521,1925
201,166,Eric Lynch,SO,Northern Arizona,Team,9:18,243,205,15:50,224,186,25:35,208,172,32:06.6,Indiana State,558,950,1535,1927
202,167,Chris Chavez,SR,California,Team,9:11,217,179,15:46,215,177,25:38,211,175,32:07.1,Indiana State,551,946,1538,1927
203,168,Eric Lee,JR,California,Team,9:13,231,193,15:50,223,185,25:43,216,178,32:08.6,Indiana State,553,950,1543,1929
204,169,Chad Balyo,SO,Ohio State,Team,9:08,195,160,15:40,196,160,25:26,204,169,32:10.9,Indiana State,548,940,1526,1931
205,170,Hari Mix,SR,Stanford,Team,8:58,55,41,15:13,51,38,24:29,53,41,32:13.2,Indiana State,538,913,1469,1933
206,171,Mikias Gelagle,SO,Arizona State,Team,9:07,183,149,15:37,182,147,25:24,201,166,32:18.8,Indiana State,547,937,1524,1939
207,,John Mickowski,SR,Army,Individual,9:09,203,,15:46,214,,25:39,212,,32:19.2,Indiana State,549,946,1539,1939
208,172,Ben Puhl,JR,Minnesota,Team,9:13,232,194,15:48,219,181,25:39,213,176,32:19.5,Indiana State,553,948,1539,1940
209,173,Hayden McLaren,SO,Providence,Team,9:04,140,108,15:29,147,115,25:27,206,170,32:21.0,Indiana State,544,929,1527,1941
210,174,Brett Adams,SR,Notre Dame,Team,9:07,184,150,15:44,212,175,25:48,219,181,32:21.9,Indiana State,547,944,1548,1942
211,,David Herren,SR,Georgia Tech,Individual,9:02,115,,15:42,204,,25:41,214,,32:23.5,Indiana State,542,942,1541,1944
212,,Ben Sitler,SO,Princeton,Individual,9:00,84,,15:32,157,,25:26,205,,32:23.9,Indiana State,540,932,1526,1944
213,175,Craian Olionard,SO,Michigan,Team,9:04,141,109,15:41,199,163,25:45,218,180,32:24.4,Indiana State,544,941,1545,1944
214,176,John McGuire,JR,Stanford,Team,9:10,210,172,15:43,206,169,25:37,210,174,32:25.2,Indiana State,550,943,1537,1945
215,177,Lane Boyer,FR,Arkansas,Team,9:06,164,131,15:42,205,168,25:41,215,177,32:27.6,Indiana State,546,942,1541,1948
216,178,Andrew Jesien,SO,Virginia,Team,9:10,211,173,15:43,207,170,25:44,217,179,32:28.8,Indiana State,550,943,1544,1949
217,179,Scott McClain,SO,Louisville,Team,9:12,223,185,15:56,231,193,25:57,222,184,32:30.5,Indiana State,552,956,1557,1950
218,180,Dominic Tanui,JR,UTEP,Team,9:03,126,96,15:31,153,121,25:03,145,116,32:35.0,Indiana State,543,931,1503,1955
